artist,track_name,label,url
Rat Heart Ensemble,"THIS, THEN WERE THRU!",https://shottatapes.bandcamp.com/album/rat-heart-ensemble-northern-luv-songs-4-wen-ur-lifes-a-mess,Shotta Tapes
Yussef Dayes,Magnolia Symphony,Brownswood,https://yussefdayes.bandcamp.com/track/magnolia-symphony
André 3000,Ninety Three 'Til Infinity And Beyoncé,Epic,https://soundcloud.com/therealandre3000benjamin/ninety-three-til-infinity-and
VHS Head,Paradise Drive,Skam,https://www.juno.co.uk/products/vhs-head-phocus-vinyl/926193-01/
Avalon Emerson,Sandrail Silhouette,AD 93,https://avalonemerson.bandcamp.com/track/sandrail-silhouette-5
Secret Night Gang,Don't Know What Tomorrow Brings,Brownswood,https://secretnightgang.bandcamp.com/album/belongs-on-a-place-called-earth
Jabee,Enough,Clerestory AV,https://iamjabee.bandcamp.com/album/am-i-good-enough
Kassa Overall and Theo Croker,The Lava Is Calm,Warp,https://bleep.com/release/385058-kassa-overall-featuring-theo-croker-the-lava-is-calm
Cleo Sol,Gold,Forever Loving Originals,https://cleosol.bandcamp.com/album/gold
Amaarae,Big Steppa,Golden Angel,https://amaaraemusic.bandcamp.com/album/fountain-baby
Rezzett,Vivz Portal,The Trilogy Tapes,https://rezzett.bandcamp.com/album/meant-like-this
Lamin Fofana,Alter-Destiny,The Trilogy Tapes,https://laminfofana.bandcamp.com/album/it-s-only-a-matter-of-acceleration-now
DDSM5,La muse n'existe pas,Self-released,https://ddsm5.bandcamp.com/album/rehearsal-zero
Actress,It's Me ( G 8 ),Ninja Tune,https://actress.bandcamp.com/album/lxxxviii
"V/Z, Valentina Magaletti & Zongamin",Candles (Version),AD 93,https://ad93.bandcamp.com/album/suono-assente
Danny Brown,Quaranta,Warp,https://dannybrown.bandcamp.com/album/quaranta
Nabihah Iqbal,This World Couldn't See Us,Ninja Tune,https://nabihahiqbal.bandcamp.com/album/dreamer
Holy Tongue,Dey Sey Dub II,Honest Jon's,https://honestjonsrecords.bandcamp.com/album/holy-tongue-beatrice-dillon-lamin-fofana-labour
Richard Norris,Birthday Dub,Oracle Sound,https://richardnorris.bandcamp.com/track/birthday-dub
Low End Activist feat. Mez,Mercenary (SKRSINTL Sunshower Version),Sneaker Social Club,https://lowendactivist.bandcamp.com/album/remixes-instrumentals
James Holden,Continuous Revolution,Border Community,https://jamesholden.bandcamp.com/album/imagine-this-is-a-high-dimensional-space-of-all-possibilities
Jessy Lanza,Don't Leave Me Now,Hyperdub,https://jessylanza.bandcamp.com/track/dont-leave-me-now
Michael J. Blood & Sockethead,SEATBELTS IN THE MERC,Blood,https://mjblood.bandcamp.com/album/eating-late
MM/KM,Slip,The Trilogy Tapes,https://thetrilogytapes.bandcamp.com/album/ich-sehe-vasen
DYL,Fjord,Nous'klaer Audio,https://nousklaer.bandcamp.com/album/fjord
Kelela,Contact,Warp,https://kelela.bandcamp.com/album/contact
Duppy,As Well,Self-released,https://artisticduppy.bandcamp.com/album/delusions-of-grandeur-instrumentals-2
Buttechno x Tris,Ent-22,Self-released,https://buttechno.bandcamp.com/album/in-your-head
K-Lone,Strings,Wisdom Teeth,https://k-lone.bandcamp.com/album/swells
Cousin,Ante,Well Street,https://wellstreetrecords.bandcamp.com/album/fifth-wall-ep
Eva Rhythmic,Your Feet Are Blue,Self-released,https://evarhythmic.bandcamp.com/album/silver-dragon
DJ Ojo,Coiled Up,Blank Mind,https://blankmindlabel.bandcamp.com/album/coiled-up
Pangaea,Squid,Hessle Audio,https://pangaeauk.bandcamp.com/album/changing-channels
